Year,Tamil_Nadu,Tamil_Nadu,Gujarat,Gujarat,Tripura,Tripura,Jammu_and_Kashmir,Jammu_and_Kashmir,Jharkhand,Jharkhand,India,India,Nagaland,Nagaland,West_Bengal,West_Bengal,Uttarakhand,Uttarakhand,Andhra_Pradesh,Andhra_Pradesh,Karnataka,Karnataka,Assam,Assam,Kerala,Kerala,Puducherry,Puducherry,Andaman_and_Nicobar_Islands,Andaman_and_Nicobar_Islands,Meghalaya,Meghalaya,Rajasthan,Rajasthan,Arunachal_Pradesh,Arunachal_Pradesh,Goa,Goa,Punjab,Punjab,Delhi,Delhi,Maharashtra,Maharashtra,Bihar,Bihar,Manipur,Manipur,Sikkim,Sikkim,Uttar_Pradesh,Uttar_Pradesh,Mizoram,Mizoram,Himachal_Pradesh,Himachal_Pradesh,Lakshadweep,Lakshadweep,Daman_and_Diu,Daman_and_Diu,Haryana,Haryana,Dadra_and_Nagar_Haveli,Dadra_and_Nagar_Haveli,Madhya_Pradesh,Madhya_Pradesh,Chattisgarh,Chattisgarh,Chandigarh,Chandigarh,Odisha,Odisha
Year,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value
1999,0.003,0.05,0.023,13.31,0.02,10.514,0,0,0.304,242.039,1.753,1850.873,0,0,0.042,1261.2,0.041,10.277,0,0,0,0,0.059,50.461,0.011,5.04,0,0,0,0,0,0,0.02,0.72,0,0,0,0.56,0.664,2.493,0,0,0.013,4.39,0.304,242.039,0.028,6.65,0,0,0.041,10.277,0,0,0.287,234.87,0,0,0,0,0,0,0,0,0.062,10.608,0.062,10.608,0,0,0.15,1.483
2000,0.009,2.16,0,0,0,0,0,0,0.425,75.534,3.58,4246.622,0,0,0.015,3866,0.472,17.389,0.178,18.81,0,0,0.322,173.516,0.008,14.8,0,0,0,0,0.01,6.51,0.004,7.93,0,0,0.003,0.285,1.492,10.07,0,0,0.011,3.79,0.425,75.534,0.026,6.97,0.6,3,0.472,17.389,0,0,0.031,46.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0.015,9.194,0,0,0,0,3.964,688.481,0,0,0.049,57.777,0.001,0,0.09,103.18,0.056,2.32,0.036,8.358,0.008,12.3,0,0,0,0,0,0.593,0.001,38.08,0,0,0.004,0.02,1.759,5.724,0,0,0.008,1.3,0.65,267.218,0.041,8.15,0,0,0.29,44.745,0,0,0.006,20.05,0,0,0,0,0,0,0,0,0,0,0.089,50.74,0,0,0.9,66.74
2002,0.32,48.11,0,0,0.012,4.695,0,0,0,0,2.194,913.092,0,0,0.067,165.072,0,0,0,0,0,0,0.299,145.6,0.015,8.751,0,0,0,0,0.011,0.13,0,0,0,0,0,0.004,0.074,2.965,0,0,0.391,21.7,0.941,511.495,0.051,8.8,0,0,0.062,2.583,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1.987,0,0,0,0,0,0
2003,0,0,0,0,0.004,1.56,0,0,0,0,4.268,7307.23,0,0,0.004,13.146,0,0,0.266,575.1,0,0,0.932,147,0,0,0,0,0,0,0.002,0.23,0,0.32,0.043,5678,0,0,0,0,0,0,0.031,74.488,0.61,62.66,0.054,9.1,0,0,1.286,448.574,0,0,0.016,17.79,0,0,0,0,0,0.41,0,0,0.126,22.717,0.003,2.305,0,0,0.891,253.83
2004,0,0,0,0,0.003,4.778,0,0,0,0,2.888,778.694,0,0,0.001,14.218,0,0,0,0,0,0,0.522,37.47,0,0,0.019,0,0,0,0.029,78.05,0.842,0,0.01,103.53,0,0,0,0,0,0,0,0.001,1.399,522.056,0.025,6.65,0,0,0,0,0,0,0,0.673,0,0,0,0,0,0,0,0,0,0,0.001,3.368,0,0,0.037,7.9
2005,0,0,0,0,0.006,3.598,0,0,0,0,12.299,2370.923,0,0,1.38,400,0,0,0.552,939.54,0.11,646.61,9.84,23.47,0,0,0.017,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0.135,11.64,0.028,6.95,0,0,0,0,0.039,0,0.048,328.59,0,0,0,0,0,0,0,0,0.011,5.98,0.006,4.544,0,0,0.094,0
2006,0,0,0,0,0.001,1.707,0,0,0,0,1.822,2850.668,0,0,0.155,31.72,0,0,0.824,1569.66,0.12,851,0.01,1.11,0,0,0.001,0,0,0,0,0,0.166,0,0.037,103.54,0,0,0,0,0,0,0,0,0.086,7.06,0.051,9.85,0,0,0,0,0,0,0.094,245.49,0,0,0,0,0,0.08,0,0,0,0,0.028,29.451,0,0,0.249,0
2007,0.029,0.34,0,0,0.007,4.956,0,0,0,0,8.795,3121.532,0,0,2.49,78.375,0,0,0.153,34.87,0.8,1879.84,0.675,0,0,0,0.015,0,0,0,0,0,0.022,0,0.037,94.66,0,0,0,0,0,0,0,0,1.06,768.378,0.051,8.8,0,0,2.955,0,0,0,0.18,239.159,0,0,0,0,0,0,0,0,0,0,0.002,12.154,0,0,0.319,0
2008,0,0,0,0,0.003,3.181,0,0,0,0,3.186,3401.563,0,0,0.125,68.14,0,0,0.996,1742.22,0.07,270.59,0.314,3.29,0.005,22.134,0.022,0,0,0,0,0,0.001,0,0.043,82.85,0,0,0.207,0,0,0,0,0,0.367,34.196,0.051,6.65,0,0,0.422,189.018,0,0,0.093,325.47,0,0,0,0,0.022,0.33,0,0,0,0,0.007,12.244,0,0,0.438,641.25
2009,0,0,0.003,68.953,0,1.006,0,0,0,0,3.592,4232.609,0,0,0.12,1.792,0,0,0.497,893.55,2.39,3028.57,0,0,0.026,158.062,0,0.014,0,0,0,0,0.001,0,0,8.98,0,0,0.005,0,0,0,0,0,0.04,21.83,0.039,7.75,0,0,0.461,42.102,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0.002,0
2010,0,0,0.67,772.26,0.001,3.875,0,0,0,0,4.994,5887.38,0,0,0.001,0.293,0,0,1.995,3758.87,0.3,760.22,1.47,36.788,0.004,30.572,0,0,0,0,0,0,0,0,0.015,43.35,0,0,0.018,132.021,0,0,0,0,0.01,3.119,0.051,6.65,0,0,0,0,0,0,0.204,285.34,0,0,0,0,0.221,54.022,0,0,0,0,0,0,0,0,0.034,0
2011,0,0,0,3.064,0,5.855,0,0,0,0,2.718,1393.847,0,0,1.231,575.296,0,0,0,0,0,0,0,0,0.01,60.213,0,0,0,0,0,0,0,0,0,0.496,0,0.623,0.197,59.56,0,0,0,0,0.163,59.87,0.025,7.75,0,0,0.396,199.94,0,0,0.157,417.39,0,0,0,0,0,0,0,0,0.008,0.004,0.014,3.787,0,0,0.517,0
2012,0,0,0.61,4.086,0,0,0,0,0.041,3.052,1.95,1534.108,0,1.6,0.012,20.617,0,0,0.465,1033.044,0,0.057,0.328,0,0.002,13.026,0.008,0,0,0,0.005,0,0.292,445.79,0.013,0,0,0,0.003,0,0,0,0,0,0.008,1.638,0,0,0.001,0,0.124,6.979,0,0,0,4.064,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0.001,0.155
2013,0,0,0,7.75,0.002,2.163,0,0,0.022,3.894,7.484,6378.078,0,1.72,0.182,533.95,0.059,3059,1.63,44.905,0.228,1703.07,0.001,0,0.011,138.8,0,0,0,0,0,0,0.04,22.3,0.31,8.245,0,0,0.11,136.46,0.002,0.01,0,0,0.6,105.72,0,0,0,0,0.349,0,0,0,0.102,506,0,0,0,0,0.12,104.091,0,0,3.67,0,0,0,0,0,0.046,0
2014,0,0,0,1.147,0,1.449,0.651,5611,0,0,8.007,7255.151,0.004,0,0.051,6.132,0.001,0,0,0,0.91,170.45,0.002,0,0.019,215.563,0,0,0,0,0.016,707,0,0,0.023,97.38,0,0,0.043,49.71,0,0,0,0,0.5,176.4,0,0,0,0,0.45,0,0,0,0.414,189.15,0,0,0,0,0.028,29.77,0,0,0.925,0,0,0,0,0,3.97,0
2015,0.383,2782.788,0,0,0.001,247.908,0,0,0,0,3.374,17043.947,0,0,1.3,11433.68,0,0,0,0,0.174,776.48,0.002,0,0.006,0,0.02,7.2,0,0.477,0,0,0.464,1122.246,0.014,15.294,0,0,0.037,63.86,0,0,0,0,0,0,0.045,35.05,0.6,0,0,0,0.189,0.386,0,121.38,0,0,0,0,0.094,437.2,0,0,0,0,0,0,0,0,0.046,0
2016,0,0,0,0,0.019,89.122,0,0,0,0,6.658,4052.723,0,0,0,0,0,0,0.003,0,3.78,1771.26,0,0,0.002,42.68,0,0,0,0,0.003,17.73,0.796,1014.221,0,0,0,0,0.001,1.14,0,0,0.015,0,0.41,443.53,0,0,0,0,0.277,123.776,0,0,0.035,26.83,0,0,0,0,0.004,518.235,0,0,1.304,0,0,0,0,0,0,0
